02108,07:21:03.0000000,2011-09-28,2011-09-29,76,70,4,
02108,07:21:03.0000000,2011-09-28,2011-10-01,65,20,-6,
02108,08:00:24.0000000,2011-09-29,2011-09-30,74,10,-3,
02108,08:00:24.0000000,2011-09-29,2011-10-02,61,30,-4,
02108,07:29:42.0000000,2011-09-30,2011-10-01,70,60,-1,
02108,07:29:42.0000000,2011-09-30,2011-10-03,61,30,-7,
02108,08:44:15.0000000,2011-10-01,2011-10-02,67,70,2,
02108,08:44:15.0000000,2011-10-01,2011-10-04,65,30,-3,
02108,11:11:47.0000000,2011-10-02,2011-10-03,63,40,-5,
02108,11:11:47.0000000,2011-10-02,2011-10-05,59,10,-10,
02108,06:28:47.0000000,2011-10-03,2011-10-04,65,70,-3,
02108,06:28:47.0000000,2011-10-03,2011-10-06,58,0,-8,
02108,06:28:04.0000000,2011-10-04,2011-10-05,63,10,-6,
02108,06:28:04.0000000,2011-10-04,2011-10-07,58,0,-4,
02108,07:28:55.0000000,2011-10-05,2011-10-06,58,0,-8,
02108,07:28:55.0000000,2011-10-05,2011-10-08,74,0,-8,
02108,06:31:08.0000000,2011-10-06,2011-10-07,59,0,-3,
02108,06:31:08.0000000,2011-10-06,2011-10-09,79,0,-8,
02108,06:21:39.0000000,2011-10-07,2011-10-08,77,0,-5,
02108,06:21:39.0000000,2011-10-07,2011-10-10,79,0,-6,
02108,12:13:37.0000000,2011-10-08,2011-10-09,81,0,-6,
02108,12:13:37.0000000,2011-10-08,2011-10-11,70,0,4,
02108,11:20:30.0000000,2011-10-09,2011-10-10,79,0,-6,
02108,11:20:30.0000000,2011-10-09,2011-10-12,67,10,5,
02108,08:25:17.0000000,2011-10-10,2011-10-11,65,0,-1,
02108,08:25:17.0000000,2011-10-10,2011-10-13,68,80,5,
02108,06:23:40.0000000,2011-10-11,2011-10-12,59,20,-3,
02108,06:23:40.0000000,2011-10-11,2011-10-14,70,40,3,
02108,16:36:20.0000000,2011-10-12,2011-10-13,65,90,2,
02108,16:36:20.0000000,2011-10-12,2011-10-15,65,10,-3,
02108,06:29:18.0000000,2011-10-13,2011-10-14,70,100,3,
02108,06:29:18.0000000,2011-10-13,2011-10-16,65,10,-1,
02108,23:52:26.0000000,2011-10-14,2011-10-15,67,10,-1,
02108,23:52:26.0000000,2011-10-14,2011-10-17,63,20,-3,
02108,10:41:05.0000000,2011-10-15,2011-10-16,63,0,-3,
02108,10:41:05.0000000,2011-10-15,2011-10-18,61,20,-7,
02108,09:30:59.0000000,2011-10-16,2011-10-17,65,0,-1,
02108,09:30:59.0000000,2011-10-16,2011-10-19,65,70,6,
02108,19:32:22.0000000,2011-10-17,2011-10-18,65,10,-3,
02108,19:32:22.0000000,2011-10-17,2011-10-20,65,20,-4,
02108,06:28:20.0000000,2011-10-18,2011-10-19,58,100,-1,
02108,06:28:20.0000000,2011-10-18,2011-10-21,63,10,-1,
02108,20:50:55.0000000,2011-10-19,2011-10-20,70,30,1,
02108,20:50:55.0000000,2011-10-19,2011-10-22,61,0,-2,
02108,06:35:24.0000000,2011-10-20,2011-10-21,65,10,1,
02108,06:35:24.0000000,2011-10-20,2011-10-23,59,10,1,
02108,08:27:29.0000000,2011-10-21,2011-10-22,58,10,-5,
02108,08:27:29.0000000,2011-10-21,2011-10-24,61,40,-2,
02108,10:53:43.0000000,2011-10-22,2011-10-23,56,0,-2,
02108,10:53:43.0000000,2011-10-22,2011-10-25,61,10,-1,
02108,13:07:00.0000000,2011-10-23,2011-10-24,59,20,-4,
02108,13:07:00.0000000,2011-10-23,2011-10-26,61,40,11,
02108,09:28:30.0000000,2011-10-24,2011-10-25,63,0,1,
02108,09:28:30.0000000,2011-10-24,2011-10-27,52,60,3,
02108,10:38:48.0000000,2011-10-25,2011-10-26,52,40,2,
02108,10:38:48.0000000,2011-10-25,2011-10-28,47,10,-2,
02108,09:42:40.0000000,2011-10-26,2011-10-27,47,90,-2,
02108,09:42:40.0000000,2011-10-26,2011-10-29,47,40,-2,
02108,06:28:04.0000000,2011-10-27,2011-10-28,49,0,0,
02108,06:28:04.0000000,2011-10-27,2011-10-30,52,10,4,
02108,11:14:55.0000000,2011-10-29,2011-10-30,45,70,-3,
02108,11:14:55.0000000,2011-10-29,2011-11-01,49,10,-5,
02108,00:08:31.0000000,2011-10-30,2011-10-31,47,0,-5,
02108,00:08:31.0000000,2011-10-30,2011-11-02,54,10,0,
02108,09:49:22.0000000,2011-10-31,2011-11-01,49,10,-5,
02108,09:49:22.0000000,2011-10-31,2011-11-03,56,10,-7,
02108,23:47:14.0000000,2011-11-01,2011-11-02,52,0,-2,
02108,23:47:14.0000000,2011-11-01,2011-11-04,47,10,-6,
02108,07:32:50.0000000,2011-11-02,2011-11-03,56,0,-7,
02108,07:32:50.0000000,2011-11-02,2011-11-05,49,0,0,
02108,12:35:09.0000000,2011-11-03,2011-11-04,52,0,-1,
02108,12:35:09.0000000,2011-11-03,2011-11-06,58,0,-1,
02108,11:01:08.0000000,2011-11-04,2011-11-05,49,0,0,
02108,11:01:08.0000000,2011-11-04,2011-11-06,61,0,-4,
02108,09:33:19.0000000,2011-11-05,2011-11-06,56,0,-3,
02108,09:33:19.0000000,2011-11-05,2011-11-07,63,0,-6,
02108,11:41:12.0000000,2011-11-06,2011-11-06,65,0,0,
02108,11:41:12.0000000,2011-11-06,2011-11-09,63,10,-4,
02108,08:41:09.0000000,2011-11-06,2011-11-07,65,0,-4,
02108,08:41:09.0000000,2011-11-06,2011-11-10,65,60,5,
02108,06:46:38.0000000,2011-11-07,2011-11-09,63,0,-4,
02108,06:46:38.0000000,2011-11-07,2011-11-11,52,40,-6,
02108,09:22:50.0000000,2011-11-09,2011-11-10,61,80,1,
02108,09:22:50.0000000,2011-11-09,2011-11-12,52,10,-1,
